iter	Logloss
0	0.4620318544
1	0.3359119288
2	0.2796041036
3	0.2483976949
4	0.2309996297
5	0.219498324
6	0.2109346854
7	0.2063693527
8	0.2024520547
9	0.1994147552
10	0.1970044038
11	0.1954023511
12	0.1928843021
13	0.1909171136
14	0.1892483642
15	0.1880450125
16	0.1863897766
17	0.1853886476
18	0.1843586486
19	0.1833887839
20	0.1819070306
21	0.1813897276
22	0.1806639975
23	0.1799863291
24	0.1792130416
25	0.1785915774
26	0.1780928709
27	0.1777123394
28	0.1762306496
29	0.1757763822
30	0.1753209554
31	0.1748589829
32	0.1744350612
33	0.1742129455
34	0.1738847777
35	0.173027572
36	0.1727279055
37	0.1717888989
38	0.1714734423
39	0.1709861045
40	0.1705903309
41	0.1702570915
42	0.1697614328
43	0.1693336294
44	0.1691197771
45	0.1688049851
46	0.1686365206
47	0.1683674263
48	0.168044512
49	0.1679080665
50	0.1676022979
51	0.1671794172
52	0.1670572935
53	0.1669706692
54	0.1667958207
55	0.1666280685
56	0.1665358003
57	0.1661680106
58	0.1658816483
59	0.1653133951
60	0.165233929
61	0.1649127689
62	0.1645955865
63	0.1639617238
64	0.1634981631
65	0.1633120952
66	0.1631087215
67	0.1629446279
68	0.162835616
69	0.1624633959
70	0.162363564
71	0.1621248731
72	0.1619303324
73	0.1618243249
74	0.1616778759
75	0.1615172729
76	0.1613138694
77	0.1611112074
78	0.1610451651
79	0.1609415437
80	0.1608730814
81	0.1607472997
82	0.1606993219
83	0.1606678778
84	0.1604215293
85	0.1603024114
86	0.1602222315
87	0.160139582
88	0.1600436542
89	0.1599886637
90	0.1598351766
91	0.1596009444
92	0.1595145526
93	0.1593468785
94	0.1592364364
95	0.1591551911
96	0.1590812029
97	0.1588965668
98	0.1588581528
99	0.1587449499
100	0.1586254354
101	0.1585346093
102	0.1584475672
103	0.1583371882
104	0.1582437083
105	0.1580442165
106	0.1579007
107	0.1578136462
108	0.1577432559
109	0.1576515283
110	0.157579657
111	0.1575399913
112	0.1574938609
113	0.1574586172
114	0.157369171
115	0.1573421347
116	0.1572986097
117	0.1572517976
118	0.1572180384
119	0.157110508
120	0.1570117678
121	0.1569333521
122	0.1568506758
123	0.1567643
124	0.1566730167
125	0.1566264439
126	0.1565810337
127	0.1565153396
128	0.1564627234
129	0.1563860016
130	0.1562946199
131	0.1562795479
132	0.1562526561
133	0.1561994528
134	0.1561762909
135	0.1561006243
136	0.1559854152
137	0.1558787392
138	0.1558163222
139	0.1557701407
140	0.1557262043
141	0.1556940421
142	0.1556484873
143	0.1555923483
144	0.1555283158
145	0.1554485216
146	0.1553884105
147	0.1553105061
148	0.1552649831
149	0.1552120185
150	0.1551609116
151	0.1550665942
152	0.155007784
153	0.1549804742
154	0.1549362024
155	0.154901669
156	0.1548185907
157	0.1547839932
158	0.1547284927
159	0.1546346527
160	0.1545810508
161	0.1545523148
162	0.1545283496
163	0.1544779458
164	0.1544378212
165	0.1543588311
166	0.1543346163
167	0.154260068
168	0.1542196801
169	0.1541824612
170	0.1540916325
171	0.1540316635
172	0.1540036199
173	0.1539862686
174	0.1539084895
175	0.1538696426
176	0.153838747
177	0.1538119472
178	0.1537292842
179	0.1536573328
180	0.1536263118
181	0.153600791
182	0.1535668658
183	0.1535111607
184	0.153480409
185	0.1534252718
186	0.1534039385
187	0.1533662165
188	0.1533372138
189	0.1532854585
190	0.1532650405
191	0.1532375262
192	0.1532230614
193	0.1532023183
194	0.1531842663
195	0.1530481977
196	0.1530092762
197	0.1529596303
198	0.1529074287
199	0.1528831461
200	0.1528258015
201	0.1527483548
202	0.1526888038
203	0.1526644816
204	0.1526162012
205	0.1525970281
206	0.152564936
207	0.1525209207
208	0.1524921175
209	0.1524618182
210	0.1523963812
211	0.1523771375
212	0.1523497942
213	0.1523308055
214	0.1522830018
215	0.1522404023
216	0.1521514957
217	0.1521330287
218	0.1520953524
219	0.152067975
220	0.1520395593
221	0.15198739
222	0.1519510756
223	0.1519227849
224	0.1518613594
225	0.1518239787
226	0.151794335
227	0.1517465792
228	0.1516910575
229	0.1516328771
230	0.1515861909
231	0.1515613732
232	0.151526144
233	0.1514875536
234	0.1514529551
235	0.1514307655
236	0.1514123052
237	0.1513944891
238	0.1513648124
239	0.1513368102
240	0.1513104622
241	0.1512944476
242	0.1512806169
243	0.1512641208
244	0.1512395122
245	0.1512082116
246	0.1511949832
247	0.1511725749
248	0.1511516744
249	0.1511295116
250	0.1511120018
251	0.1510924309
252	0.1510616128
253	0.1510351741
254	0.1510082
255	0.1509802032
256	0.1509248021
257	0.1508893016
258	0.1508688963
259	0.1508264666
260	0.1507983604
261	0.1507716198
262	0.1507502302
263	0.1507251879
264	0.150702688
265	0.1506561103
266	0.1506345693
267	0.1506132607
268	0.1505925298
269	0.1505821602
270	0.1505673518
271	0.1505226384
272	0.1504803476
273	0.1504509308
274	0.1504316893
275	0.1504161668
276	0.1503999171
277	0.1503695965
278	0.1503082213
279	0.1502710227
280	0.1502528037
281	0.1502243921
282	0.1501907662
283	0.150141083
284	0.1501222654
285	0.1499948901
286	0.1499694375
287	0.1499503568
288	0.1499393419
289	0.1499173694
290	0.1498889185
291	0.1498717639
292	0.1498523532
293	0.1498356934
294	0.1498057405
295	0.1497862488
296	0.1497667825
297	0.1497404556
298	0.1497002137
299	0.1496784909
300	0.1496622316
301	0.1496499854
302	0.1496154779
303	0.1495815822
304	0.1495550758
305	0.1495185086
306	0.149510725
307	0.1494778029
308	0.1494614688
309	0.1494415772
310	0.1494154595
311	0.1494007267
312	0.1493839183
313	0.1493619445
314	0.1493214445
315	0.1492567066
316	0.1492395523
317	0.149203414
318	0.1491843469
319	0.1491378054
320	0.1491165928
321	0.1490991106
322	0.1490641726
323	0.1490488291
324	0.1490322165
325	0.1490011061
326	0.1489819271
327	0.1489637102
328	0.148934136
329	0.1488757287
330	0.1488349258
331	0.1488144248
332	0.1487925955
333	0.1487717753
334	0.148759023
335	0.1487363715
336	0.1487251744
337	0.1487122371
338	0.148689479
339	0.1486583304
340	0.1486447186
341	0.1485994021
342	0.1485806758
343	0.1485632963
344	0.148548853
345	0.1485337123
346	0.1484917465
347	0.1484769548
348	0.1484620313
349	0.1484387011
350	0.1484277044
351	0.1484180647
352	0.1484075338
353	0.1483817818
354	0.1483688953
355	0.1483572987
356	0.1483392738
357	0.1483234574
358	0.1483075402
359	0.1482838745
360	0.1482718001
361	0.1482293578
362	0.1482141196
363	0.1482031105
364	0.1481810515
365	0.1481381804
366	0.1481184427
367	0.1480961143
368	0.1480710585
369	0.1480443116
370	0.1479961311
371	0.1479782855
372	0.1479584292
373	0.1479253485
374	0.1478781896
375	0.147840312
376	0.1478096199
377	0.1477927916
378	0.1477623141
379	0.147744452
380	0.1477186937
381	0.1476890588
382	0.1476708489
383	0.147653751
384	0.1476427264
385	0.1476238224
386	0.1476061629
387	0.1475863888
388	0.1475738381
389	0.1475534967
390	0.1475345233
391	0.14751762
392	0.147503411
393	0.1474886368
394	0.1474733511
395	0.1474577735
396	0.1474483212
397	0.1474368351
398	0.147422824
399	0.1474071885
400	0.1473884492
401	0.1473581258
402	0.1473200419
403	0.1473136137
404	0.1473081572
405	0.1472917777
406	0.1472660368
407	0.1472392507
408	0.1472287324
409	0.1472092501
410	0.1471915359
411	0.1471813064
412	0.1471676613
413	0.1471475183
414	0.1471308029
415	0.1471155032
416	0.1471029987
417	0.147087239
418	0.1470739026
419	0.1470535714
420	0.147040344
421	0.1470212819
422	0.1469992026
423	0.1469545487
424	0.146944532
425	0.1469233261
426	0.1469153008
427	0.1469046223
428	0.1468888861
429	0.1468773434
430	0.1468583787
431	0.1468418139
432	0.1468149616
433	0.146799074
434	0.1467861157
435	0.1467504978
436	0.1467410765
437	0.1466692383
438	0.1466498115
439	0.1466278955
440	0.1466160324
441	0.146596982
442	0.1465687748
443	0.1465519218
444	0.1465430897
445	0.1465213514
446	0.1465014034
447	0.1464882205
448	0.1464689757
449	0.1464541924
450	0.1464431641
451	0.1464324928
452	0.1464247813
453	0.1464078767
454	0.146391284
455	0.1463800198
456	0.1463678987
457	0.1463464949
458	0.1463293777
459	0.146313427
460	0.146298506
461	0.1462734092
462	0.1462550513
463	0.1462302648
464	0.1462118098
465	0.1462001681
466	0.1461838052
467	0.1461724698
468	0.1461578151
469	0.1461468932
470	0.1461361999
471	0.1461253362
472	0.1460984183
473	0.1460730768
474	0.1460498965
475	0.1460308152
476	0.1460177059
477	0.146000383
478	0.1459583405
479	0.1459464963
480	0.1459213698
481	0.1459060316
482	0.1458880511
483	0.1458769378
484	0.1458686402
485	0.1458573077
486	0.1458466362
487	0.145820948
488	0.1458000785
489	0.1457848748
490	0.1457734186
491	0.1457552633
492	0.1457390787
493	0.145723238
494	0.1457035393
495	0.1456920382
496	0.1456394955
497	0.1456272942
498	0.1456104724
499	0.1456043913
500	0.1455831914
501	0.1455736697
502	0.1455510687
503	0.1455382048
504	0.1455205673
505	0.1455047879
506	0.1454903721
507	0.1454770116
508	0.1454619761
509	0.1454493995
510	0.145437373
511	0.1454228084
512	0.1454116635
513	0.1454011596
514	0.1453876238
515	0.1453728169
516	0.1453515595
517	0.1453344743
518	0.145320649
519	0.1453072074
520	0.1452962731
521	0.1452854624
522	0.1452741094
523	0.1452478425
524	0.1452348028
525	0.1452265607
526	0.1452137568
527	0.1452028316
528	0.1451912261
529	0.1451825956
530	0.1451676476
531	0.1451611182
532	0.1451461563
533	0.1451351185
534	0.1451240949
535	0.1450765426
536	0.1450246073
537	0.1450133462
538	0.1449945683
539	0.1449829878
540	0.144970512
541	0.1449562625
542	0.1449452167
543	0.1449338432
544	0.1449255924
545	0.1449197116
546	0.1449110504
547	0.1448930707
548	0.1448743351
549	0.1448649853
550	0.1448474735
551	0.1448385449
552	0.144820706
553	0.1448071014
554	0.1447998512
555	0.1447800443
556	0.1447402297
557	0.1447329778
558	0.1447199187
559	0.1447057062
560	0.1446938781
561	0.1446750742
562	0.1446518136
563	0.1446404589
564	0.1446261672
565	0.1446116403
566	0.1445950164
567	0.1445650282
568	0.1445528565
569	0.144532633
570	0.1445156982
571	0.1445047829
572	0.144494624
573	0.1444815384
574	0.1444656281
575	0.1444497443
576	0.1444353859
577	0.1444136995
578	0.144403645
579	0.1443741007
580	0.1443663281
581	0.1443558342
582	0.1443428497
583	0.1443323675
584	0.1443227113
585	0.1443074693
586	0.1443002313
587	0.1442947764
588	0.1442826963
589	0.1442695301
590	0.1442528661
591	0.1442380069
592	0.1442275319
593	0.1442149623
594	0.1442026182
595	0.1441880522
596	0.1441756937
597	0.144164337
598	0.144154286
599	0.144141842
600	0.144133839
601	0.1441216907
602	0.1441089334
603	0.1441001182
604	0.1440873058
605	0.1440709548
606	0.1440555172
607	0.1440487143
608	0.144038618
609	0.1440263525
610	0.1440097229
611	0.1439720647
612	0.1439620098
613	0.1439368649
614	0.1439223697
615	0.1439105105
616	0.1438945993
617	0.1438846975
618	0.1438805503
619	0.1438680059
620	0.1438365647
621	0.1438139944
622	0.1437941357
623	0.1437820344
624	0.1437714761
625	0.1437537918
626	0.1437337635
627	0.143725152
628	0.1437107003
629	0.1436958748
630	0.1436834381
631	0.1436590112
632	0.1436472983
633	0.1436408197
634	0.1436333155
635	0.1436189392
636	0.1435985349
637	0.143582274
638	0.143564757
639	0.1435535299
640	0.143544444
641	0.1435321914
642	0.1435194355
643	0.1435026362
644	0.14348984
645	0.1434786867
646	0.1434664562
647	0.1434534656
648	0.1434439476
649	0.1434335709
650	0.1434233808
651	0.1434077921
652	0.1433913385
653	0.1433555002
654	0.143342352
655	0.1433282407
656	0.1432984332
657	0.1432878272
658	0.1432733813
659	0.1432614578
660	0.1432516322
661	0.1432407823
662	0.1432280124
663	0.1431830063
664	0.1431675962
665	0.1431567179
666	0.1431479445
667	0.1431373187
668	0.1431240293
669	0.1431135059
670	0.1431024309
671	0.1430850319
672	0.1430763297
673	0.1430685346
674	0.1430599796
675	0.1430435644
676	0.1430308672
677	0.143018749
678	0.1430085162
679	0.1430003256
680	0.1429910448
681	0.1429801276
682	0.1429681123
683	0.1429568714
684	0.1429452485
685	0.1429352233
686	0.1429252962
687	0.1429184775
688	0.1429064994
689	0.1428956834
690	0.1428862715
691	0.1428765489
692	0.1428594692
693	0.1428487813
694	0.1428406997
695	0.1428294697
696	0.1428139673
697	0.142799089
698	0.1427907633
699	0.1427825614
700	0.1427707485
701	0.1427550532
702	0.1427446999
703	0.1427316968
704	0.1427192693
705	0.1427114649
706	0.1427008718
707	0.1426883599
708	0.1426755528
709	0.1426636309
710	0.14263714
711	0.1426019003
712	0.142581893
713	0.1425616927
714	0.1425522072
715	0.1425397249
716	0.1425270431
717	0.1425152768
718	0.1425056625
719	0.142492578
720	0.1424797018
721	0.1424726045
722	0.1424646645
723	0.1424525959
724	0.1424345575
725	0.1424196813
726	0.1424107642
727	0.1423830384
728	0.1423729479
729	0.1423598576
730	0.1423391434
731	0.1423271974
732	0.1423218453
733	0.1423131606
734	0.1423035527
735	0.1422947828
736	0.1422843865
737	0.14227564
738	0.1422653383
739	0.1422487822
740	0.1422367031
741	0.1422262559
742	0.1422162231
743	0.1422086072
744	0.142196853
745	0.1421835753
746	0.1421720892
747	0.1421626886
748	0.142153613
749	0.142143852
750	0.1421362572
751	0.142123399
752	0.1421151602
753	0.1421033853
754	0.1420970895
755	0.1420861179
756	0.1420676422
757	0.1420561592
758	0.1420445682
759	0.1420321565
760	0.142021212
761	0.1420110697
762	0.1420004987
763	0.1419916925
764	0.1419849762
765	0.1419574134
766	0.1419091567
767	0.1418957812
768	0.1418844694
769	0.1418577877
770	0.1418482507
771	0.1418366818
772	0.1418313599
773	0.141800618
774	0.141788746
775	0.1417733325
776	0.1417672952
777	0.14175568
778	0.1417492641
779	0.1417297869
780	0.1417209558
781	0.1417118883
782	0.1417023107
783	0.1416912972
784	0.1416739644
785	0.1416611444
786	0.1416461604
787	0.1416350547
788	0.1416271104
789	0.1416164218
790	0.1416086285
791	0.1415972017
792	0.141589189
793	0.1415605673
794	0.1415458273
795	0.1415351878
796	0.141529285
797	0.1415196068
798	0.1415062866
799	0.1415011424
800	0.1414906759
801	0.1414805261
802	0.1414742655
803	0.1414572054
804	0.1414470892
805	0.1414342994
806	0.14142693
807	0.1414202221
808	0.1414098316
809	0.1413984537
810	0.1413883917
811	0.1413787961
812	0.1413725782
813	0.1413620262
814	0.1413526698
815	0.1413434383
816	0.1413335491
817	0.1413264525
818	0.1413172781
819	0.1413098656
820	0.1412995222
821	0.1412770853
822	0.1412703793
823	0.1412615544
824	0.1412528905
825	0.141245615
826	0.141234469
827	0.141227216
828	0.1412167811
829	0.1412036252
830	0.1411890627
831	0.1411799793
832	0.1411673001
833	0.1411530911
834	0.1411392129
835	0.1411298373
836	0.1411221811
837	0.1411077949
838	0.1410997765
839	0.1410929211
840	0.1410797528
841	0.1410664251
842	0.1410548216
843	0.1410488777
844	0.1410386799
845	0.1410265452
846	0.1410161695
847	0.1410067799
848	0.1409953495
849	0.1409863973
850	0.1409787585
851	0.1409712528
852	0.1409627569
853	0.1409544754
854	0.1409464887
855	0.140939015
856	0.1409293136
857	0.1409228154
858	0.1409127365
859	0.1409039927
860	0.1408928167
861	0.1408831718
862	0.1408720351
863	0.1408667216
864	0.1408572951
865	0.1408492481
866	0.1408367076
867	0.1408277336
868	0.1408166287
869	0.1408063268
870	0.1407940098
871	0.1407858488
872	0.140775803
873	0.1407597885
874	0.1407414133
875	0.1407309215
876	0.1407216874
877	0.1407061725
878	0.140698141
879	0.1406900898
880	0.1406809416
881	0.1406712763
882	0.1406571531
883	0.1406500928
884	0.140638518
885	0.140627716
886	0.14061051
887	0.1405992279
888	0.1405861142
889	0.1405722587
890	0.1405635752
891	0.1405529744
