iter	Passed	Remaining
0	16	23917
1	32	23351
2	46	22576
3	60	21964
4	75	21656
5	89	21439
6	104	21442
7	119	21445
8	134	21431
9	149	21471
10	164	21477
11	179	21468
12	195	21551
13	209	21394
14	222	21252
15	238	21293
16	254	21353
17	268	21317
18	283	21300
19	299	21327
20	314	21326
21	328	21256
22	343	21262
23	357	21184
24	373	21220
25	387	21184
26	402	21159
27	416	21103
28	431	21076
29	445	21019
30	459	20964
31	472	20882
32	486	20813
33	499	20728
34	513	20705
35	528	20698
36	541	20606
37	556	20608
38	569	20541
39	584	20543
40	598	20501
41	613	20498
42	626	20454
43	641	20426
44	654	20370
45	668	20341
46	683	20335
47	697	20320
48	711	20294
49	726	20287
50	741	20273
51	755	20252
52	769	20237
53	784	20220
54	798	20182
55	810	20128
56	824	20103
57	839	20098
58	854	20097
59	869	20094
60	883	20065
61	897	20027
62	912	20041
63	926	20015
64	940	19987
65	956	19990
66	969	19947
67	982	19907
68	995	19866
69	1009	19851
70	1023	19823
71	1038	19820
72	1053	19806
73	1066	19776
74	1080	19758
75	1096	19758
76	1110	19745
77	1126	19748
78	1139	19720
79	1154	19711
80	1167	19668
81	1181	19653
82	1196	19643
83	1211	19636
84	1224	19602
85	1239	19597
86	1253	19575
87	1267	19565
88	1281	19534
89	1293	19492
90	1308	19485
91	1324	19492
92	1337	19458
93	1352	19447
94	1366	19432
95	1380	19412
96	1396	19424
97	1412	19433
98	1426	19402
99	1440	19385
100	1455	19383
101	1470	19376
102	1484	19353
103	1499	19351
104	1513	19325
105	1527	19312
106	1542	19305
107	1556	19281
108	1570	19265
109	1586	19270
110	1600	19246
111	1614	19230
112	1629	19225
113	1644	19209
114	1657	19187
115	1672	19174
116	1686	19161
117	1699	19128
118	1714	19116
119	1729	19115
120	1744	19098
121	1758	19084
122	1772	19068
123	1786	19046
124	1801	19035
125	1816	19026
126	1831	19019
127	1845	19003
128	1858	18975
129	1872	18958
130	1890	18972
131	1904	18953
132	1918	18939
133	1932	18918
134	1945	18891
135	1959	18877
136	1973	18858
137	1988	18849
138	2004	18846
139	2020	18845
140	2034	18833
141	2049	18824
142	2064	18809
143	2079	18805
144	2095	18800
145	2110	18790
146	2124	18772
147	2139	18763
148	2153	18743
149	2167	18726
150	2182	18715
151	2198	18713
152	2213	18705
153	2227	18689
154	2242	18681
155	2257	18665
156	2271	18652
157	2285	18631
158	2300	18619
159	2314	18600
160	2328	18584
161	2342	18568
162	2355	18538
163	2370	18529
164	2385	18522
165	2400	18507
166	2414	18489
167	2430	18492
168	2445	18475
169	2460	18465
170	2474	18452
171	2487	18427
172	2503	18418
173	2517	18404
174	2533	18403
175	2548	18390
176	2563	18376
177	2578	18365
178	2591	18342
179	2607	18339
180	2621	18322
181	2635	18304
182	2649	18287
183	2663	18269
184	2678	18258
185	2694	18249
186	2708	18232
187	2723	18223
188	2737	18207
189	2752	18193
190	2766	18180
191	2781	18166
192	2794	18144
193	2809	18134
194	2824	18122
195	2839	18109
196	2853	18093
197	2867	18076
198	2881	18058
199	2896	18042
200	2910	18027
201	2925	18016
202	2941	18014
203	2956	17998
204	2969	17977
205	2984	17965
206	3000	17959
207	3014	17939
208	3030	17937
209	3044	17921
210	3058	17902
211	3073	17887
212	3085	17861
213	3100	17849
214	3114	17831
215	3128	17813
216	3144	17806
217	3157	17787
218	3172	17775
219	3185	17754
220	3199	17734
221	3214	17721
